date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191027,Mavericks,Trailblazers,home,84.5,40.0,47.219864176570454,29.5,23.0,77.44755244755245,38.0,12.5,32.77777777777778,20.0,6.0,47.5,7.0,15.0,-1.5,-2,0,222.0,18.0,O,2
20191027,Grizzlies,Nets,home,91.5,38.5,42.0929954578054,25.0,17.0,68.33333333333333,30.5,7.5,25.05387931034483,23.0,6.5,48.0,8.5,21.0,4.0,1,0,224.0,43.0,O,-2
20191027,Nets,Grizzlies,away,89.5,42.5,47.48032495557247,30.0,19.0,62.66968325791856,35.5,15.5,43.68044515103339,20.0,5.5,47.0,9.5,21.0,-4.0,-1,1,224.0,43.0,O,1
20191027,Lakers,Hornets,home,85.5,35.5,41.532147742818054,22.5,17.0,75.29761904761904,29.5,10.5,35.08158508158508,19.5,8.0,41.5,9.0,14.0,-13.0,19,1,216.5,4.5,O,1
20191027,Warriors,Thunder,away,99.0,39.0,39.39393939393939,30.0,29.0,96.66666666666669,42.0,15.0,35.714285714285715,27.0,0.0,42.0,7.0,13.0,0.0,-28,0,223.0,-11.0,U,-1
20191027,Heat,Timberwolves,away,93.0,43.0,46.30168899242865,37.5,28.0,74.25213675213675,31.0,11.5,37.62626262626263,25.5,5.5,52.5,8.0,18.5,6.5,-7,0,224.5,0.5,O,2
20191027,Trailblazers,Mavericks,away,86.0,41.0,47.74847870182556,22.5,20.0,88.83399209486166,29.0,9.0,30.83333333333333,18.0,4.5,44.0,8.5,18.0,1.5,2,1,222.0,18.0,O,1
20191027,Hornets,Lakers,away,86.0,41.0,47.59199134199133,21.0,13.0,65.625,36.5,17.5,46.826018808777434,27.0,5.0,41.5,4.5,19.0,13.0,-19,0,216.5,4.5,O,-1
20191027,Timberwolves,Heat,home,99.5,44.5,44.922669922669925,29.5,22.5,76.38248847926266,40.5,12.5,30.905752753977964,26.5,5.0,52.0,10.0,14.0,-6.5,7,1,224.5,0.5,O,2
20191027,Thunder,Warriors,home,83.0,32.5,39.1566265060241,26.5,17.5,65.6891495601173,25.0,7.5,29.388083735909824,14.5,5.0,48.5,6.0,15.5,0.0,28,1,223.0,-11.0,U,-2
